start_date,end_date,current_flag,dataset_row_id,creation_date,status,completion_date,service_request_number,type_of_service_request,number_of_premises_baited,number_of_premises_with_garbage,number_of_premises_with_rats,current_activity,most_recent_action,street_address,zip_code,x_coordinate,y_coordinate,ward,police_district,community_area,latitude,longitude,location
2014-08-13 21:52:54.758983,,True,3543,2014-05-09,Completed,2014-05-22,14-00682215,Rodent Baiting/Rat Complaint,2,3,2.0,Dispatch Crew,Inspected and baited,4530 S DREXEL BLVD,60653,1182953.80858848,1875160.31868451,4,2,39,41.812643428619,-87.6044378008928,"(41.812643428619005, -87.60443780089284)"
2014-08-13 21:52:54.758983,,True,3670,2014-03-25,Completed,2014-04-03,14-00428059,Rodent Baiting/Rat Complaint,3,7,3.0,Dispatch Crew,Inspected and baited,950 W 59TH ST,60621,1170895.59208595,1865705.08472378,16,7,68,41.7869693871583,-87.6489433649652,"(41.78696938715827, -87.64894336496518)"
2014-08-13 21:52:54.758983,,True,33031,2014-03-18,Completed,2014-03-24,14-00381703,Rodent Baiting/Rat Complaint,2,4,2.0,Dispatch Crew,Inspected and baited,4746 S LANGLEY AVE,60615,1181731.37656951,1873695.97309591,4,2,38,41.8086535128107,-87.6089669152816,"(41.808653512810686, -87.60896691528156)"
2014-08-13 21:52:54.758983,,True,33100,2014-03-25,Completed,2014-04-03,14-00424132,Rodent Baiting/Rat Complaint,1,4,1.0,Dispatch Crew,Inspected and baited,6024 S RHODES AVE,60637,1180952.6898782,1865188.50213404,20,3,42,41.7853262407116,-87.6120847446647,"(41.78532624071157, -87.6120847446647)"
2014-08-13 21:52:54.758983,,True,33137,2014-06-25,Completed,2014-07-21,14-00982769,Rodent Baiting/Rat Complaint,4,3,5.0,Dispatch Crew,Inspected and baited,650 W GARFIELD BLVD,60609,1172890.45008166,1868416.74427346,3,9,61,41.7943666678968,-87.6415491510585,"(41.79436666789678, -87.64154915105853)"
2014-08-13 21:52:54.758983,,True,33179,2014-07-17,Completed,2014-08-07,14-01140253,Rodent Baiting/Rat Complaint,0,4,0.0,Dispatch Crew,Inspected and baited,4600 S EVANS AVE,60653,1182027.10987713,1874675.73991105,4,2,38,41.8113352253317,-87.6078519064959,"(41.81133522533173, -87.60785190649587)"
2014-08-13 21:52:54.758983,,True,33654,2014-07-25,Completed,2014-08-07,14-01194728,Rodent Baiting/Rat Complaint,0,4,0.0,Dispatch Crew,Inspected and baited,4600 S COTTAGE GROVE AVE,60653,1182366.99278502,1874685.46200704,4,2,38,41.8113540232099,-87.6066049509379,"(41.81135402320991, -87.6066049509379)"
2014-08-13 21:52:54.758983,,True,33717,2014-01-15,Completed,2014-01-21,14-00071360,Rodent Baiting/Rat Complaint,0,6,0.0,Dispatch Crew,Inspected and baited,256 W SWANN ST,60609,1175268.9222039,1874083.46009275,3,9,37,41.8098638364025,-87.6326580273901,"(41.809863836402485, -87.63265802739008)"
2014-08-13 21:52:54.758983,,True,34101,2014-04-11,Completed,2014-04-28,14-00527897,Rodent Baiting/Rat Complaint,0,6,0.0,Dispatch Crew,Inspected and baited,5200 S KENWOOD AVE,60615,1185989.1357862,1870928.0130915,4,2,41,41.8009584918829,-87.5934379909805,"(41.80095849188285, -87.59343799098048)"
2014-08-13 21:52:54.758983,,True,34352,2014-07-14,Completed,2014-08-08,14-01106800,Rodent Baiting/Rat Complaint,2,7,3.0,Dispatch Crew,Inspected and baited,4609 S PRAIRIE AVE,60653,1178815.06131457,1874521.54669805,3,2,38,41.8109859104526,-87.6196380769798,"(41.81098591045258, -87.61963807697977)"
2014-08-13 21:52:54.758983,,True,34484,2014-06-24,Completed,2014-07-29,14-00972071,Rodent Baiting/Rat Complaint,1,4,1.0,Dispatch Crew,Inspected and baited,6148 S EBERHART AVE,60637,1180642.24291491,1864353.71808805,20,3,42,41.783042654746,-87.6132486042312,"(41.78304265474598, -87.61324860423125)"
2014-08-13 21:52:54.758983,,True,34807,2014-05-20,Completed,2014-05-30,14-00749348,Rodent Baiting/Rat Complaint,1,2,1.0,Dispatch Crew,Inspected and baited,6128 S SANGAMON ST,60621,1171026.23376724,1864193.50938004,16,7,68,41.7828185959053,-87.648508504963,"(41.78281859590527, -87.64850850496302)"
2014-08-13 21:52:54.758983,,True,34812,2014-07-02,Completed,2014-07-07,14-01033359,Rodent Baiting/Rat Complaint,2,5,3.0,Dispatch Crew,Inspected and baited,6120 S SANGAMON ST,60621,1171024.73376724,1864247.00938004,16,7,68,41.7829654388947,-87.6485124422252,"(41.78296543889466, -87.6485124422252)"
2014-08-13 21:52:54.758983,,True,35323,2014-01-14,Completed,2014-01-16,14-00062315,Rodent Baiting/Rat Complaint,0,2,0.0,Dispatch Crew,"Area inspected, no cause and no baiting",4826 S ST LAWRENCE AVE,60615,1181072.52011343,1873147.76530671,4,2,38,41.8071643986559,-87.6114003212385,"(41.807164398655885, -87.61140032123846)"
2014-08-13 21:52:54.758983,,True,65008,2014-05-16,Completed,2014-05-20,14-00724170,Rodent Baiting/Rat Complaint,1,0,1.0,Dispatch Crew,"Backyard serviced, contact made",6307 S NORMAL BLVD,60621,1174036.03678849,1863055.33312201,20,7,68,41.779629004643,-87.6375074505552,"(41.779629004642956, -87.63750745055525)"
2014-08-13 21:52:54.758983,,True,65222,2014-06-19,Completed,2014-07-02,14-00941453,Rodent Baiting/Rat Complaint,1,2,2.0,Dispatch Crew,Inspected and baited,6849 S CHAMPLAIN AVE,60637,1181745.64928895,1859741.58047392,6,3,42,41.7703610790339,-87.6093455632489,"(41.770361079033854, -87.60934556324894)"
2014-08-13 21:52:54.758983,,True,65386,2014-03-19,Completed,2014-03-26,14-00392847,Rodent Baiting/Rat Complaint,3,6,3.0,Dispatch Crew,Inspected and baited,5100 S KENWOOD AVE,60615,1185974.56011646,1871454.4055083,4,2,41,41.8024032959954,-87.593474827639,"(41.802403295995376, -87.59347482763903)"
2014-08-13 21:52:54.758983,2014-08-22 00:00:00,False,65684,2014-08-02,Open,,14-01255554,Rodent Baiting/Rat Complaint,,,,,,6910 S WOODLAWN AVE,60637,1185593.12011969,1859522.30739734,5,3,69,41.7696696339366,-87.5952493594058,"(41.769669633936616, -87.59524935940576)"
2014-08-13 21:52:54.758983,,True,66600,2014-05-09,Completed,2014-05-27,14-00681320,Rodent Baiting/Rat Complaint,3,1,3.0,Dispatch Crew,Inspected and baited,522 W 46TH ST,60609,1173583.27619828,1874416.77359774,11,9,61,41.8108160272916,-87.6388308151994,"(41.81081602729164, -87.63883081519937)"
2014-08-13 21:52:54.758983,,True,66982,2014-03-24,Completed,2014-04-01,14-00419367,Rodent Baiting/Rat Complaint,0,0,0.0,Dispatch Crew,"Area inspected, no cause and no baiting",6401 S KIMBARK AVE,60637,1185739.4541326,1862817.655003,20,3,42,41.7787089107583,-87.5946092128534,"(41.778708910758255, -87.5946092128534)"
2014-08-13 21:52:54.758983,,True,67003,2014-05-11,Completed,2014-05-22,14-00687854,Rodent Baiting/Rat Complaint,0,0,0.0,Dispatch Crew,Inspected and baited,1702 E 55TH ST,60615,1188614.83401454,1868862.74559473,5,2,41,41.7952288285336,-87.5838748451937,"(41.79522882853363, -87.58387484519375)"
2014-08-13 21:52:54.758983,,True,67151,2014-07-07,Completed,2014-08-06,14-01054639,Rodent Baiting/Rat Complaint,9,2,9.0,Dispatch Crew,Inspected and baited,242 W 59TH ST,60621,1175535.42678717,1865833.33942691,20,7,68,41.7872187234933,-87.6319274488709,"(41.7872187234933, -87.6319274488709)"
2014-08-13 21:52:54.758983,,True,67160,2014-05-22,Completed,2014-06-03,14-00762902,Rodent Baiting/Rat Complaint,4,6,4.0,Dispatch Crew,Inspected and baited,6546 S PEORIA ST,60621,1171432.62851967,1861431.25397385,17,7,68,41.7752297522763,-87.6470993578077,"(41.77522975227632, -87.6470993578077)"
2014-08-13 21:52:54.758983,,True,68241,2014-05-16,Completed,2014-05-28,14-00723390,Rodent Baiting/Rat Complaint,6,12,6.0,Dispatch Crew,Inspected and baited,1007 W 47TH PL,60609,1170400.34498049,1873320.51993109,3,9,61,41.8078777844967,-87.6505374183895,"(41.807877784496654, -87.6505374183895)"
2014-08-13 21:52:54.758983,,True,96525,2014-04-09,Completed,2014-04-22,14-00509640,Rodent Baiting/Rat Complaint,2,4,3.0,Dispatch Crew,Inspected and baited,5712 S MICHIGAN AVE,60637,1178131.63708808,1867177.30822975,20,2,40,41.7908481914911,-87.6223676108361,"(41.790848191491094, -87.62236761083608)"
2014-08-13 21:52:54.758983,,True,96671,2014-02-06,Completed,2014-02-11,14-00177312,Rodent Baiting/Rat Complaint,0,8,0.0,Dispatch Crew,"Area inspected, no cause and no baiting",4500 S NORMAL AVE,60609,1173710.11112443,1875087.51732301,11,9,61,41.812653799033,-87.6383457027241,"(41.81265379903298, -87.6383457027241)"
2014-08-13 21:52:54.758983,,True,97124,2014-05-07,Completed,2014-05-19,14-00669070,Rodent Baiting/Rat Complaint,0,0,0.0,Dispatch Crew,"Area inspected, no cause and no baiting",6657 S CORNELL DR,60637,1188174.85882949,1860896.0157088,5,3,42,41.7733780180101,-87.5857422188288,"(41.773378018010085, -87.58574221882881)"
2014-08-13 21:52:54.758983,,True,97242,2014-05-22,Completed,2014-06-20,14-00765572,Rodent Baiting/Rat Complaint,0,2,0.0,Dispatch Crew,"Area inspected, no cause and no baiting",5107 S ABERDEEN ST,60609,1169849.93509625,1870939.17719675,16,9,61,41.8013551048067,-87.6526253470619,"(41.80135510480666, -87.65262534706191)"
2014-08-13 21:52:54.758983,,True,97800,2014-01-10,Completed,2014-01-15,14-00041957,Rodent Baiting/Rat Complaint,3,6,3.0,Dispatch Crew,Inspected and baited,1601 E 55TH ST,60615,1187622.6411811,1868838.2185071,5,2,41,41.7951852035954,-87.5875139542527,"(41.795185203595395, -87.58751395425271)"
2014-08-13 21:52:54.758983,2014-08-22 00:00:00,False,98146,2014-07-24,Open,,14-01188311,Rodent Baiting/Rat Complaint,,,,,,5400 S CORNELL AVE,60615,1188167.50492647,1869913.84991124,5,2,41,41.7981238240294,-87.5854816490821,"(41.79812382402944, -87.58548164908213)"
2014-08-13 21:52:54.758983,,True,98184,2014-04-22,Completed,2014-04-24,14-00581417,Rodent Baiting/Rat Complaint,1,4,1.0,Dispatch Crew,Inspected and baited,4619 S VINCENNES AVE,60653,1180398.83471122,1874437.68102191,3,2,38,41.8107195366966,-87.6138315623382,"(41.810719536696574, -87.61383156233816)"
2014-08-13 21:52:54.758983,,True,98423,2014-03-28,Completed,2014-04-04,14-00445972,Rodent Baiting/Rat Complaint,0,6,0.0,Dispatch Crew,"Area inspected, no cause and no baiting",5040 S WELLS ST,60609,1175428.50000091,1871533.54996668,3,9,37,41.8028630684725,-87.6321490261463,"(41.8028630684725, -87.63214902614625)"
2014-08-13 21:52:54.758983,,True,98580,2014-04-15,Completed,2014-04-17,14-00541628,Rodent Baiting/Rat Complaint,0,0,0.0,Dispatch Crew,Inspected and baited,6910 S WOODLAWN AVE,60637,1185593.12011969,1859522.30739734,5,3,69,41.7696696339366,-87.5952493594058,"(41.769669633936616, -87.59524935940576)"
2014-08-13 21:52:54.758983,,True,98827,2014-06-10,Completed,2014-06-20,14-00877965,Rodent Baiting/Rat Complaint,1,3,1.0,Dispatch Crew,"Area inspected, no cause and no baiting",5106 S EMERALD AVE,60609,1172171.28993204,1871009.04311155,3,9,61,41.8014960618625,-87.6441100610219,"(41.8014960618625, -87.64411006102195)"
2014-08-13 21:52:54.758983,,True,98960,2014-07-20,Completed,2014-08-04,14-01156400,Rodent Baiting/Rat Complaint,0,1,0.0,Dispatch Crew,"Area inspected, no cause and no baiting",5304 S WOODLAWN AVE,60615,1185120.74778297,1870351.95781923,4,2,41,41.7993982199651,-87.5966407289305,"(41.79939821996514, -87.59664072893054)"
2014-08-13 21:52:54.758983,,True,99431,2014-03-19,Completed,2014-03-26,14-00392871,Rodent Baiting/Rat Complaint,2,3,2.0,Dispatch Crew,Inspected and baited,5117 S DORCHESTER AVE,60615,1186419.18851466,1871374.39387968,4,2,41,41.8021732243707,-87.5918467416415,"(41.80217322437073, -87.59184674164153)"
2014-08-13 21:52:54.758983,,True,100244,2014-03-24,Completed,2014-04-01,14-00419284,Rodent Baiting/Rat Complaint,0,3,0.0,Dispatch Crew,"Area inspected, no cause and no baiting",6700 S CHAMPLAIN AVE,60637,1181719.81969828,1860731.42941308,20,3,42,41.7730779184385,-87.6094097020979,"(41.77307791843854, -87.60940970209793)"
2014-08-13 21:52:54.758983,,True,100280,2014-08-05,Open,,14-01275691,Rodent Baiting/Rat Complaint,,,,,,5001 S MORGAN ST,60609,1170492.21500829,1871656.80579561,20,9,61,41.8033103730103,-87.6502489612243,"(41.80331037301034, -87.65024896122434)"
2014-08-13 21:52:54.758983,,True,4113,2014-03-20,Completed,2014-03-26,14-00402700,Rodent Baiting/Rat Complaint,0,7,0.0,Dispatch Crew,Inspected and baited,715 W 50TH PL,60609,1172388.3900081,1871386.36000471,3,9,61,41.8025266788682,-87.6433027680459,"(41.8025266788682, -87.64330276804588)"
2014-08-13 21:52:54.758983,,True,4186,2014-05-22,Completed,2014-05-29,14-00765373,Rodent Baiting/Rat Complaint,0,0,0.0,Dispatch Crew,Inspected and baited,6307 S NORMAL BLVD,60621,1174036.03678849,1863055.33312201,20,7,68,41.779629004643,-87.6375074505552,"(41.779629004642956, -87.63750745055525)"
2014-08-13 21:52:54.758983,,True,4370,2014-04-03,Completed,2014-04-10,14-00480971,Rodent Baiting/Rat Complaint,1,10,1.0,Dispatch Crew,"Area inspected, no cause and no baiting",6416 S GREEN ST,60621,1171727.099978,1862292.30999596,16,7,68,41.7775861382185,-87.6459946360296,"(41.77758613821851, -87.64599463602963)"
2014-08-13 21:52:54.758983,2014-08-22 00:00:00,False,5055,2014-07-24,Open - Dup,,14-01186781,Rodent Baiting/Rat Complaint,,,,,,5481 S CORNELL AVE,60615,1188190.70999177,1869048.61599308,5,2,41,41.7957490063483,-87.5854241593998,"(41.795749006348345, -87.5854241593998)"
2014-08-13 21:52:54.758983,,True,5114,2014-02-19,Completed,2014-02-24,14-00232145,Rodent Baiting/Rat Complaint,0,6,2.0,Dispatch Crew,Inspected and baited,6401 S KIMBARK AVE,60637,1185739.4541326,1862817.655003,20,3,42,41.7787089107583,-87.5946092128534,"(41.778708910758255, -87.5946092128534)"
2014-08-13 21:52:54.758983,2014-08-22 00:00:00,False,5409,2014-07-17,Open,,14-01142921,Rodent Baiting/Rat Complaint,,,,,,112 E 50TH ST,60615,1178057.12727229,1871905.07351438,3,2,38,41.8038233140063,-87.6224974668122,"(41.803823314006294, -87.62249746681218)"
2014-08-13 21:52:54.758983,,True,5642,2014-07-30,Open,,14-01236747,Rodent Baiting/Rat Complaint,,,,,,5543 S UNION AVE,60621,1172579.16419498,1868034.59716827,3,7,68,41.7933248834231,-87.6427018795196,"(41.79332488342311, -87.6427018795196)"
2014-08-13 21:52:54.758983,2014-08-22 00:00:00,False,5780,2014-08-07,Open,,14-01296779,Rodent Baiting/Rat Complaint,,,,,,1515 E 67TH PL,60637,1187462.57942373,1860534.77849251,5,3,43,41.7724037134258,-87.5883647015181,"(41.77240371342578, -87.58836470151806)"
2014-08-13 21:52:54.758983,2014-08-22 00:00:00,False,6638,2014-07-22,Open,,14-01168931,Rodent Baiting/Rat Complaint,,,,,,5469 S CORNELL AVE,60615,1188187.1434661,1869179.24557105,5,2,41,41.7961075484519,-87.5854330702245,"(41.79610754845189, -87.58543307022445)"
2014-08-13 21:52:54.758983,,True,6812,2014-02-28,Completed,2014-03-06,14-00291469,Rodent Baiting/Rat Complaint,0,1,0.0,Dispatch Crew,"Area inspected, no cause and no baiting",5428 S LAKE PARK AVE,60615,1187665.46890086,1869599.21442661,4,2,41,41.797272412199,-87.5873326900071,"(41.79727241219901, -87.58733269000706)"
2014-08-13 21:52:54.758983,,True,6813,2014-07-01,Completed,2014-08-01,14-01028227,Rodent Baiting/Rat Complaint,0,2,1.0,Dispatch Crew,"Area inspected, no cause and no baiting",4553 S STATE ST,60609,1177035.46791477,1874871.1999714,3,2,38,41.8119857599327,-87.6261548702423,"(41.8119857599327, -87.62615487024233)"
2014-08-13 21:52:54.758983,,True,36479,2014-07-16,Completed,2014-08-08,14-01133374,Rodent Baiting/Rat Complaint,0,5,2.0,Dispatch Crew,Inspected and baited,5614 S SHIELDS AVE,60621,1174928.0972941,1867639.83978384,3,7,68,41.7921895233555,-87.6341003757601,"(41.79218952335547, -87.6341003757601)"
2014-08-13 21:52:54.758983,,True,36715,2014-07-28,Open,,14-01213911,Rodent Baiting/Rat Complaint,,,,,,5727 S PRINCETON AVE,60621,1175265.13312672,1866962.78700674,20,7,68,41.7903240918656,-87.6328847525459,"(41.790324091865614, -87.63288475254592)"
2014-08-13 21:52:54.758983,,True,36787,2014-07-11,Open,,14-01096770,Rodent Baiting/Rat Complaint,,,,,,943 W 50TH ST,60609,1170866.39387144,1871676.81520541,20,9,61,41.8033571125398,-87.648876087725,"(41.80335711253975, -87.648876087725)"
2014-08-13 21:52:54.758983,,True,36944,2014-07-19,Completed,2014-08-04,14-01154877,Rodent Baiting/Rat Complaint,0,0,0.0,Dispatch Crew,"Area inspected, no cause and no baiting",1421 E ROCHDALE PL,60615,1186556.64473126,1869069.56869794,4,2,41,41.7958453581704,-87.5914155966805,"(41.7958453581704, -87.59141559668048)"
2014-08-13 21:52:54.758983,,True,37601,2014-03-18,Completed,2014-03-24,14-00386783,Rodent Baiting/Rat Complaint,4,9,4.0,Dispatch Crew,Inspected and baited,5600 S LOWE AVE,60621,1172919.39709175,1867731.48986954,3,7,68,41.7924856172993,-87.6414632267625,"(41.7924856172993, -87.64146322676251)"
2014-08-13 21:52:54.758983,,True,37986,2014-02-20,Completed,2014-02-25,14-00244305,Rodent Baiting/Rat Complaint,0,2,0.0,Dispatch Crew,Inspected and baited,5536 S CARPENTER ST,60621,1170259.65988372,1868015.72242625,16,7,68,41.793323907731,-87.6512078160675,"(41.79332390773101, -87.65120781606747)"
2014-08-13 21:52:54.758983,,True,38633,2014-08-05,Open,,14-01272145,Rodent Baiting/Rat Complaint,,,,,,5155 S EMERALD AVE,60609,1172179.08200902,1870680.26280452,3,9,61,41.8005936827988,-87.6440911531816,"(41.80059368279882, -87.64409115318163)"
2014-08-13 21:52:54.758983,,True,38632,2014-06-16,Completed,2014-06-18,14-00913301,Rodent Baiting/Rat Complaint,0,5,0.0,Dispatch Crew,Inspected and baited,547 E 60TH ST,60637,1181021.9898782,1865351.40213404,20,3,42,41.7857716580042,-87.6118256502803,"(41.785771658004194, -87.61182565028032)"
2014-08-13 21:52:54.758983,,True,38731,2014-05-13,Completed,2014-05-14,14-00698738,Rodent Baiting/Rat Complaint,1,2,1.0,Dispatch Crew,Inspected and baited,256 W 60TH PL,60621,1175495.92008593,1864847.39000386,20,7,68,41.7845140590195,-87.6321017847646,"(41.784514059019465, -87.63210178476456)"
2014-08-13 21:52:54.758983,,True,39484,2014-04-21,Completed,2014-05-06,14-00573216,Rodent Baiting/Rat Complaint,3,1,3.0,Dispatch Crew,Inspected and baited,1446 E 55TH ST,60615,1186914.0998875,1868929.86247757,5,2,41,41.7954535206823,-87.5901092394131,"(41.79545352068228, -87.59010923941308)"
