start_date,end_date,current_flag,dataset_row_id,id,case_number,date,block,iucr,primary_type,description,location_description,arrest,domestic,beat,district,ward,community_area,fbi_code,x_coordinate,y_coordinate,year,updated_on,latitude,longitude
54:18.6,,TRUE,7545,9740969,HX391381,8/17/14 14:55,011XX W BRYN MAWR AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,ALLEY,TRUE,FALSE,2023,20,48,77,18,1167805,1937317,2014,8/24/14 12:37,41.98354466,-87.65820946
54:18.6,,TRUE,7792,9722102,HX371512,8/2/14 20:00,009XX S COLUMBUS DR,281,CRIM SEXUAL ASSAULT,NON-AGGRAVATED,PARK PROPERTY,FALSE,FALSE,114,1,2,32,2,1178350,1896234,2014,8/9/14 12:36,41.87057703,-87.62068307
54:18.6,,TRUE,7872,9732803,HX382901,8/9/14 3:30,068XX S UNION AVE,810,THEFT,OVER $500,STREET,FALSE,FALSE,723,7,6,68,6,1172955,1859673,2014,8/16/14 12:37,41.77037143,-87.6415704
54:18.6,,TRUE,9967,9738151,HX388110,8/14/14 21:00,023XX N CALIFORNIA AVE,810,THEFT,OVER $500,STREET,FALSE,FALSE,1414,14,35,22,6,1157283,1915172,2014,8/21/14 12:36,41.92299849,-87.69751174
54:18.6,,TRUE,10272,9731643,HX381697,8/10/14 11:00,039XX W OHIO ST,486,BATTERY,DOMESTIC BATTERY SIMPLE,SIDEWALK,FALSE,TRUE,1122,11,27,23,08B,1149807,1903672,2014,8/17/14 12:37,41.89159019,-87.72528082
54:18.6,,TRUE,10534,9730417,HX380135,8/9/14 6:22,044XX W FIFTH AVE,1506,PROSTITUTION,SOLICIT ON PUBLIC WAY,STREET,TRUE,FALSE,1131,11,24,26,16,1146782,1895785,2014,8/16/14 12:37,41.87000563,-87.73659176
54:18.6,,TRUE,10610,9721715,HX371856,8/3/14 2:24,005XX N RIDGEWAY AVE,051A,ASSAULT,AGGRAVATED: HANDGUN,SIDEWALK,TRUE,TRUE,1122,11,27,23,04A,1151244,1903598,2014,8/10/14 12:34,41.89135906,-87.72000528
54:18.6,,TRUE,10775,9741837,HX392280,8/17/14 22:00,057XX N ARTESIAN AVE,910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,FALSE,FALSE,2011,20,40,2,7,1158910,1938223,2014,8/24/14 12:37,41.9862185,-87.69089865
54:18.6,,TRUE,2803264,9739800,HX389841,8/16/14 11:25,017XX N KEDZIE AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,TRUE,TRUE,1421,14,26,23,08B,1154817,1911404,2014,8/23/14 12:37,41.9127086,-87.70667386
54:18.6,,TRUE,2803392,9740489,HX390826,8/17/14 2:30,038XX W MAYPOLE AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,FALSE,TRUE,1122,11,28,26,08B,1150750,1900900,2014,8/24/14 12:37,41.88396514,-87.72189013
54:18.6,,TRUE,2803510,9727420,HX377205,8/6/14 23:30,063XX S ASHLAND AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,SIDEWALK,FALSE,TRUE,725,7,16,67,08B,1166792,1862873,2014,8/13/14 12:36,41.77928644,-87.66407019
54:18.6,,TRUE,2803813,9720191,HX369818,8/1/14 17:30,002XX N LAPORTE AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,SIDEWALK,FALSE,TRUE,1532,15,28,25,08B,1143294,1901199,2014,8/8/14 12:34,41.88492814,-87.74926215
54:18.6,,TRUE,2804729,9729816,HX379307,8/8/14 14:39,004XX S CLINTON ST,560,ASSAULT,SIMPLE,STREET,TRUE,TRUE,121,1,2,28,08A,1172760,1898170,2014,8/15/14 12:34,41.87601507,-87.64114832
54:18.6,,TRUE,2804884,9727470,HX377118,8/6/14 1:00,009XX E 81ST ST,610,BURGLARY,FORCIBLE ENTRY,APARTMENT,FALSE,FALSE,631,6,8,44,5,1184044,1851532,2014,8/13/14 12:36,41.74777978,-87.60117695
54:18.6,,TRUE,2805082,9725826,HX375680,8/5/14 21:30,019XX W GARFIELD BLVD,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,FALSE,FALSE,932,9,16,61,14,1164252,1868229,2014,8/12/14 12:35,41.79403786,-87.67323137
54:18.6,,TRUE,2805772,9730240,HX379573,8/8/14 10:10,061XX W NORTH AVE,1365,CRIMINAL TRESPASS,TO RESIDENCE,APARTMENT,FALSE,FALSE,2513,25,29,25,26,1135016,1910031,2014,8/15/14 12:34,41.90931487,-87.77945138
54:18.6,,TRUE,2806152,9741370,HX391910,8/17/14 23:28,009XX W BELMONT AVE,1350,CRIMINAL TRESPASS,TO STATE SUP LAND,CTA STATION,TRUE,FALSE,1924,19,44,6,26,1169306,1921471,2014,8/24/14 12:37,41.94003012,-87.6531517
54:18.6,,TRUE,2806919,9737765,HX387535,8/14/14 15:30,017XX W FULLERTON AVE,860,THEFT,RETAIL THEFT,DEPARTMENT STORE,TRUE,FALSE,1811,18,32,7,6,1164106,1915948,2014,8/21/14 12:36,41.92498632,-87.67241976
54:18.6,,TRUE,2806974,9727139,HX376804,8/3/14 21:00,019XX N CALIFORNIA AVE,1585,SEX OFFENSE,OTHER,SIDEWALK,FALSE,FALSE,1421,14,35,22,17,1157350,1912933,2014,8/10/14 12:34,41.91685313,-87.69732657
54:18.6,,TRUE,2807494,9737726,HX387583,8/13/14 15:25,014XX W 17TH ST,2826,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,APARTMENT,FALSE,FALSE,1233,12,25,31,26,1167097,1891800,2014,8/20/14 12:42,41.8586587,-87.66212362
54:18.6,,TRUE,2807824,9735103,HX385298,8/13/14 1:05,008XX W 75TH ST,1506,PROSTITUTION,SOLICIT ON PUBLIC WAY,STREET,TRUE,FALSE,621,6,17,71,16,1172094,1855016,2014,8/20/14 12:42,41.75761101,-87.6448631
54:18.6,,TRUE,2809704,9721896,HX372143,8/3/14 0:15,039XX N PULASKI RD,880,THEFT,PURSE-SNATCHING,STREET,FALSE,FALSE,1732,17,39,16,6,1149067,1925758,2014,8/10/14 12:34,41.95221056,-87.72742541
54:18.6,,TRUE,2810412,9720342,HX370129,8/1/14 21:40,035XX W 60TH ST,2022,NARCOTICS,POSS: COCAINE,ALLEY,TRUE,FALSE,823,8,16,66,18,1154032,1864568,2014,8/8/14 12:34,41.78420077,-87.71080509
54:18.6,,TRUE,2810697,9727902,HX377441,8/6/14 22:00,028XX S PRINCETON AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,FALSE,FALSE,914,9,11,34,14,1174709,1885950,2014,8/13/14 12:36,41.84243916,-87.63435762
54:18.6,,TRUE,2810767,9738058,HX387824,8/14/14 17:30,055XX N BROADWAY,460,BATTERY,SIMPLE,ALLEY,FALSE,FALSE,2023,20,48,77,08B,1167349,1937019,2014,8/21/14 12:36,41.98273679,-87.65989515
54:18.6,,TRUE,2811168,9738094,HX388021,8/14/14 20:42,007XX E 81ST ST,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,TRUE,FALSE,631,6,6,44,14,1182518,1851495,2014,8/21/14 12:36,41.74771374,-87.60676977
54:18.6,,TRUE,2811530,9736016,HX385922,8/11/14 17:03,007XX E 87TH ST,810,THEFT,OVER $500,OTHER,FALSE,FALSE,632,6,6,44,6,1182817,1847421,2014,8/18/14 12:38,41.7365273,-87.60580037
54:18.6,,TRUE,2812352,9739445,HX389390,8/15/14 23:15,051XX N CLARK ST,890,THEFT,FROM BUILDING,BAR OR TAVERN,FALSE,FALSE,2032,20,48,3,6,1165022,1934476,2014,8/22/14 12:36,41.9758086,-87.66852588
54:18.6,,TRUE,2812574,9734582,HX384686,8/11/14 11:30,011XX W FULLERTON AVE,820,THEFT,$500 AND UNDER,VEHICLE-COMMERCIAL,FALSE,FALSE,1932,19,43,7,6,1168283,1916140,2014,8/18/14 12:38,41.92542381,-87.65706607
54:18.6,,TRUE,2812732,9728531,HX378207,8/6/14 23:45,004XX N CLARK ST,890,THEFT,FROM BUILDING,BAR OR TAVERN,FALSE,FALSE,1831,18,42,8,6,1175497,1903373,2014,8/13/14 12:36,41.89023139,-87.63094277
54:18.6,,TRUE,2813538,9740251,HX390469,8/15/14 15:30,005XX E 50TH ST,810,THEFT,OVER $500,VEHICLE-COMMERCIAL,FALSE,FALSE,223,2,4,38,6,1180906,1871950,2014,8/22/14 12:36,41.80388147,-87.61204793
54:18.6,,TRUE,11040,9731575,HX381501,8/10/14 5:30,007XX N LOCKWOOD AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,FALSE,FALSE,1524,15,37,25,14,1140844,1904585,2014,8/17/14 12:37,41.89426515,-87.75817572
54:18.6,,TRUE,11234,9735611,HX385528,8/12/14 23:00,010XX N LONG AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,FALSE,TRUE,1524,15,37,25,08B,1140161,1906344,2014,8/19/14 12:37,41.89910459,-87.76064108
54:18.6,,TRUE,11356,9730339,HX380002,8/9/14 1:39,009XX N CAMBRIDGE AVE,554,ASSAULT,AGG PO HANDS NO/MIN INJURY,CHA PARKING LOT/GROUNDS,TRUE,FALSE,1823,18,27,8,08A,1172468,1906397,2014,8/16/14 12:37,41.89859693,-87.64197707
54:18.6,,TRUE,11421,9730730,HX380542,8/9/14 13:45,010XX W LELAND AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,SIDEWALK,TRUE,FALSE,1914,19,46,3,18,1168271,1931338,2014,8/16/14 12:37,41.96712802,-87.6566693
54:18.6,,TRUE,12108,9718965,HX368850,8/1/14 0:05,088XX S LAFLIN ST,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,FALSE,FALSE,2222,22,21,71,14,1167929,1845851,2014,8/8/14 12:34,41.73255141,-87.66038996
54:18.6,,TRUE,12638,9725300,HX375140,8/3/14 3:00,038XX N ASHLAND AVE,810,THEFT,OVER $500,BAR OR TAVERN,FALSE,FALSE,1922,19,47,6,6,1165013,1925372,2014,8/10/14 12:34,41.95082705,-87.66881862
54:18.6,,TRUE,13179,9722322,HX372676,8/3/14 18:00,068XX S WABASH AVE,560,ASSAULT,SIMPLE,APARTMENT,FALSE,TRUE,322,3,20,69,08A,1177870,1859529,2014,8/10/14 12:34,41.76986638,-87.62355845
54:18.6,,TRUE,13359,9720136,HX369792,8/1/14 16:18,076XX S CICERO AVE,860,THEFT,RETAIL THEFT,DEPARTMENT STORE,TRUE,FALSE,833,8,13,65,6,1145766,1853739,2014,8/8/14 12:34,41.75464436,-87.74138513
54:18.6,,TRUE,13366,9733610,HX383657,8/11/14 19:31,018XX S SPRINGFIELD AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,FALSE,TRUE,1014,10,24,29,14,1150655,1890552,2014,8/18/14 12:38,41.8555709,-87.72250937
54:18.6,,TRUE,14246,9739621,HX386962,8/13/14 19:40,012XX S CANAL ST,330,ROBBERY,AGGRAVATED,PARKING LOT/GARAGE(NON.RESID.),FALSE,FALSE,124,1,2,28,3,1173279,1894513,2014,8/20/14 12:42,41.86596851,-87.63935131
54:18.6,,TRUE,14565,9736504,HX386668,8/13/14 23:15,044XX N CLIFTON AVE,3100,PUBLIC PEACE VIOLATION,MOB ACTION,SIDEWALK,TRUE,FALSE,1913,19,46,3,24,1167872,1929693,2014,8/20/14 12:42,41.96262273,-87.65818402
54:18.6,,TRUE,15471,9720979,HX370842,8/2/14 12:00,003XX N MICHIGAN AVE,5000,OTHER OFFENSE,OTHER CRIME AGAINST PERSON,SMALL RETAIL STORE,FALSE,FALSE,111,1,42,32,26,1177207,1902324,2014,8/9/14 12:36,41.8873143,-87.62469475
54:18.6,,TRUE,15763,9725951,HX375596,8/5/14 7:00,092XX S MAY ST,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENTIAL YARD (FRONT/BACK),FALSE,FALSE,2222,22,21,73,14,1170327,1843205,2014,8/12/14 12:35,41.72523862,-87.65168179
54:18.6,,TRUE,15795,9730345,HX379880,8/8/14 22:00,080XX S ST LAWRENCE AVE,560,ASSAULT,SIMPLE,SIDEWALK,FALSE,FALSE,631,6,6,44,08A,1181669,1851880,2014,8/15/14 12:34,41.74878985,-87.60986888
54:18.6,,TRUE,16606,9737253,HX386905,8/14/14 4:50,0000X N WABASH AVE,610,BURGLARY,FORCIBLE ENTRY,SMALL RETAIL STORE,FALSE,FALSE,112,1,42,32,5,1176848,1900456,2014,8/21/14 12:36,41.88219653,-87.62606962
54:18.6,,TRUE,16766,9733871,HX384068,8/11/14 19:15,044XX S UNIVERSITY AVE,820,THEFT,$500 AND UNDER,STREET,FALSE,FALSE,222,2,4,39,6,1184706,1875725,2014,8/18/14 12:38,41.81415199,-87.59799311
54:18.6,,TRUE,16855,9731000,HX380847,8/9/14 17:30,065XX S WESTERN AVE,502P,OTHER OFFENSE,FALSE/STOLEN/ALTERED TRP,STREET,TRUE,FALSE,832,8,15,66,26,1161544,1861022,2014,8/16/14 12:37,41.77431752,-87.68336128
54:18.6,,TRUE,16965,9724059,HX374140,8/4/14 18:05,079XX S DREXEL AVE,1365,CRIMINAL TRESPASS,TO RESIDENCE,APARTMENT,TRUE,FALSE,624,6,8,44,26,1183655,1852346,2014,8/11/14 12:39,41.75002255,-87.60257702
54:18.6,,TRUE,17197,9727709,HX377412,8/6/14 18:00,045XX N ARTESIAN AVE,610,BURGLARY,FORCIBLE ENTRY,RESIDENCE,FALSE,FALSE,1911,19,47,4,5,1159183,1929966,2014,8/13/14 12:36,41.96355528,-87.69012259
54:18.6,,TRUE,17812,9728206,HX377757,8/6/14 19:34,064XX S DR MARTIN LUTHER KING JR DR,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,SIDEWALK,TRUE,FALSE,312,3,20,69,18,1179992,1862214,2014,8/13/14 12:36,41.77718598,-87.61569805
54:18.6,,TRUE,18285,9720258,HX369937,8/1/14 18:00,004XX N WESTERN AVE,502P,OTHER OFFENSE,FALSE/STOLEN/ALTERED TRP,STREET,TRUE,FALSE,1221,12,27,24,26,1160381,1902706,2014,8/8/14 12:34,41.88872721,-87.68647403
54:18.6,,TRUE,18360,9734434,HX384489,8/12/14 13:29,056XX S ARTESIAN AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,SIDEWALK,TRUE,FALSE,824,8,16,63,18,1161028,1867298,2014,8/19/14 12:37,41.7915504,-87.68507941
54:18.6,,TRUE,18375,9739617,HX389617,8/16/14 3:30,011XX W WILSON AVE,810,THEFT,OVER $500,CTA TRAIN,FALSE,FALSE,1913,19,46,3,6,1168018,1930745,2014,8/23/14 12:37,41.96550629,-87.65761674
54:18.6,,TRUE,18521,9733437,HX383443,8/11/14 16:33,050XX W ARMITAGE AVE,460,BATTERY,SIMPLE,RESTAURANT,FALSE,FALSE,2522,25,31,19,08B,1142128,1912862,2014,8/18/14 12:38,41.91695445,-87.75325435
54:18.6,,TRUE,19026,9740467,HX390782,8/17/14 2:10,015XX S LAWNDALE AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,TRUE,FALSE,1014,10,24,29,18,1152008,1891914,2014,8/24/14 12:37,41.85928187,-87.71750732
54:18.6,,TRUE,19261,9727238,HX372508,8/3/14 15:20,042XX W BELMONT AVE,320,ROBBERY,STRONGARM - NO WEAPON,SIDEWALK,FALSE,FALSE,1731,17,31,16,3,1147196,1920969,2014,8/10/14 12:34,41.93910524,-87.73442631
54:18.6,,TRUE,19494,9732849,HX382967,8/10/14 20:00,051XX N MARINE DR,460,BATTERY,SIMPLE,RESIDENTIAL YARD (FRONT/BACK),FALSE,FALSE,2024,20,48,3,08B,1169539,1934367,2014,8/17/14 12:37,41.97541211,-87.65191847
54:18.6,,TRUE,19822,9739036,HX388818,8/15/14 15:00,021XX S ARCHER AVE,810,THEFT,OVER $500,STREET,FALSE,FALSE,914,9,25,34,6,1175228,1890240,2014,8/22/14 12:36,41.85419964,-87.63232454
54:18.6,,TRUE,20363,9721473,HX371565,8/2/14 21:39,062XX S MAPLEWOOD AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,PARK PROPERTY,TRUE,FALSE,825,8,15,66,18,1160492,1862862,2014,8/9/14 12:36,41.77938849,-87.68716707
54:18.6,,TRUE,20541,9743870,HX393957,8/13/14 9:00,004XX E 45TH PL,1130,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,RESIDENCE,FALSE,FALSE,221,2,3,38,11,1180138,1874992,2014,8/20/14 12:42,41.81224662,-87.61477127
54:18.6,,TRUE,21690,9736045,HX386018,8/13/14 15:15,087XX S ADA ST,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,TRUE,FALSE,2222,22,21,71,18,1168904,1846530,2014,8/20/14 12:42,41.73439371,-87.65679855
54:18.6,,TRUE,2814006,9727434,HX377215,8/5/14 22:30,014XX W 84TH ST,430,BATTERY,AGGRAVATED: OTHER DANG WEAPON,PARK PROPERTY,FALSE,TRUE,614,6,21,71,04B,1168136,1849083,2014,8/12/14 12:35,41.74141604,-87.65953893
54:18.6,,TRUE,2814351,9736128,HX386181,8/13/14 15:05,030XX S HALSTED ST,460,BATTERY,SIMPLE,PARKING LOT/GARAGE(NON.RESID.),FALSE,FALSE,913,9,11,60,08B,1171422,1884772,2014,8/20/14 12:42,41.8392794,-87.64645448
54:18.6,,TRUE,2814706,9736000,HX385789,8/11/14 12:00,019XX S DRAKE AVE,1156,DECEPTIVE PRACTICE,ATTEMPT - FINANCIAL IDENTITY THEFT,RESIDENCE,FALSE,FALSE,1024,10,24,29,11,1153020,1890088,2014,8/18/14 12:38,41.85425113,-87.71384092
54:18.6,,TRUE,2816042,9740465,HX390794,8/17/14 2:30,003XX W CHICAGO AVE,1210,DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,BAR OR TAVERN,FALSE,FALSE,1823,18,27,8,11,1173902,1905706,2014,8/24/14 12:37,41.89666895,-87.63673073
54:18.6,,TRUE,2816071,9731691,HX381751,8/9/14 19:15,014XX N NORTH PARK AVE,820,THEFT,$500 AND UNDER,STREET,FALSE,FALSE,1821,18,27,8,6,1173871,1909881,2014,8/16/14 12:37,41.90812606,-87.63672006
54:18.6,,TRUE,2816303,9735638,HX385510,8/12/14 21:00,003XX W CHICAGO AVE,870,THEFT,POCKET-PICKING,CTA TRAIN,FALSE,FALSE,1823,18,27,8,6,1174142,1905713,2014,8/19/14 12:37,41.89668281,-87.63584905
54:18.6,,TRUE,2816747,9735575,HX385672,8/12/14 22:00,091XX S BUFFALO AVE,320,ROBBERY,STRONGARM - NO WEAPON,STREET,FALSE,FALSE,424,4,10,46,3,1199588,1845181,2014,8/19/14 12:37,41.7299751,-87.54443343
54:18.6,,TRUE,2817458,9739003,HX388738,8/15/14 14:15,092XX S PEORIA ST,560,ASSAULT,SIMPLE,RESIDENCE,FALSE,TRUE,2223,22,21,73,08A,1171897,1843558,2014,8/22/14 12:36,41.72617304,-87.64592051
54:18.6,,TRUE,2817552,9728774,HX378480,8/7/14 22:40,010XX W 90TH ST,5002,OTHER OFFENSE,OTHER VEHICLE OFFENSE,STREET,TRUE,FALSE,2222,22,21,73,26,1171191,1845180,2014,8/14/14 12:38,41.73063948,-87.64845937
54:18.6,,TRUE,2818865,9735426,HX385450,8/13/14 8:10,001XX E 75TH ST,860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,TRUE,FALSE,623,6,6,69,6,1178832,1855288,2014,8/20/14 12:42,41.75820678,-87.62016109
54:18.6,,TRUE,2819259,9734843,HX385023,8/12/14 19:35,065XX S OAKLEY AVE,3731,INTERFERENCE WITH PUBLIC OFFICER,OBSTRUCTING IDENTIFICATION,SIDEWALK,FALSE,FALSE,832,8,15,66,24,1162247,1860906,2014,8/19/14 12:37,41.77398459,-87.68078742
54:18.6,,TRUE,2819418,9741927,HX392350,8/17/14 21:00,023XX W SUNNYSIDE AVE,1345,CRIMINAL DAMAGE,TO CITY OF CHICAGO PROPERTY,PARK PROPERTY,FALSE,FALSE,1911,19,47,4,14,1159821,1929783,2014,8/24/14 12:37,41.96303995,-87.68778194
54:18.6,,TRUE,2819505,9731232,HX380855,8/9/14 17:30,035XX N KOLMAR AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,FALSE,TRUE,1731,17,30,16,08B,1145375,1923258,2014,8/16/14 12:37,41.94542117,-87.74106091
54:18.6,,TRUE,2820374,9728594,HX378248,8/7/14 19:33,073XX S CHAMPLAIN AVE,2027,NARCOTICS,POSS: CRACK,STREET,TRUE,FALSE,323,3,6,69,18,1181789,1856689,2014,8/14/14 12:38,41.76198349,-87.60928085
54:18.6,,TRUE,2821056,9736181,HX386268,8/13/14 17:43,057XX S MICHIGAN AVE,1330,CRIMINAL TRESPASS,TO LAND,RESIDENCE PORCH/HALLWAY,TRUE,FALSE,232,2,20,40,26,1178093,1867135,2014,8/20/14 12:42,41.79073297,-87.62251057
54:18.6,,TRUE,2821072,9722537,HX372825,8/3/14 19:32,062XX S LAFLIN ST,274,CRIM SEXUAL ASSAULT,ATTEMPT AGG: OTHER DANG WEAPON,APARTMENT,FALSE,FALSE,713,7,16,67,2,1167363,1863335,2014,8/10/14 12:34,41.78054202,-87.66196362
54:18.6,,TRUE,2821111,9740671,HX391006,8/17/14 9:07,023XX W 91ST ST,1780,OFFENSE INVOLVING CHILDREN,OTHER OFFENSE,RESIDENCE,FALSE,TRUE,2221,22,19,72,26,1162517,1844207,2014,8/24/14 12:37,41.72815442,-87.6802623
54:18.6,,TRUE,2821481,9733386,HX383455,8/11/14 16:45,045XX S DAMEN AVE,860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,FALSE,FALSE,924,9,12,61,6,1163636,1874247,2014,8/18/14 12:38,41.81056495,-87.67532128
54:18.6,,TRUE,2822224,9738768,HX388617,8/5/14 12:17,012XX N HOYNE AVE,820,THEFT,$500 AND UNDER,RESIDENCE PORCH/HALLWAY,FALSE,FALSE,1424,14,1,24,6,1162213,1908411,2014,8/16/14 12:37,41.90434409,-87.67958659
54:18.6,,TRUE,2822267,9729423,HX379001,8/8/14 11:00,011XX N WASHTENAW AVE,810,THEFT,OVER $500,STREET,FALSE,FALSE,1211,12,1,24,6,1158230,1907502,2014,8/15/14 12:34,41.90193208,-87.69424212
54:18.6,,TRUE,2822529,9721821,HX371980,8/3/14 4:15,051XX N CALIFORNIA AVE,1330,CRIMINAL TRESPASS,TO LAND,HOSPITAL BUILDING/GROUNDS,FALSE,FALSE,2031,20,40,4,26,1156803,1934239,2014,8/10/14 12:34,41.97532931,-87.69875672
54:18.6,,TRUE,2822615,9741030,HX391513,8/17/14 11:45,051XX W ALTGELD ST,620,BURGLARY,UNLAWFUL ENTRY,RESIDENCE-GARAGE,FALSE,FALSE,2521,25,31,19,5,1141773,1916191,2014,8/24/14 12:37,41.92609616,-87.75447607
54:18.6,,TRUE,2822696,9731609,HX380174,8/8/14 20:00,063XX S ABERDEEN ST,910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,FALSE,FALSE,724,7,16,68,7,1170035,1862596,2014,8/15/14 12:34,41.77845645,-87.65218906
